word,source,speaker,license,original_filename,url
секунда,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-секунда.wav,https://upload.wikimedia.org/wikipedia/commons/9/9e/LL-Q9296_%28mkd%29-Bjankuloski06-%D1%81%D0%B5%D0%BA%D1%83%D0%BD%D0%B4%D0%B0.wav
час,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-час.wav,https://upload.wikimedia.org/wikipedia/commons/e/e5/LL-Q9296_%28mkd%29-Bjankuloski06-%D1%87%D0%B0%D1%81.wav
секогаш,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-секогаш.wav,https://upload.wikimedia.org/wikipedia/commons/9/93/LL-Q9296_%28mkd%29-Bjankuloski06-%D1%81%D0%B5%D0%BA%D0%BE%D0%B3%D0%B0%D1%88.wav
полноќ,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-полноќ.wav,https://upload.wikimedia.org/wikipedia/commons/a/af/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%BF%D0%BE%D0%BB%D0%BD%D0%BE%D1%9C.wav
ноќ,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-ноќ.wav,https://upload.wikimedia.org/wikipedia/commons/9/9b/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%BD%D0%BE%D1%9C.wav
вечер,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-вечер.wav,https://upload.wikimedia.org/wikipedia/commons/7/7c/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%B2%D0%B5%D1%87%D0%B5%D1%80.wav
попладне,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-попладне.wav,https://upload.wikimedia.org/wikipedia/commons/6/63/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%BF%D0%BE%D0%BF%D0%BB%D0%B0%D0%B4%D0%BD%D0%B5.wav
пладне,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-пладне.wav,https://upload.wikimedia.org/wikipedia/commons/e/ef/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%BF%D0%BB%D0%B0%D0%B4%D0%BD%D0%B5.wav
утро,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-утро.wav,https://upload.wikimedia.org/wikipedia/commons/0/0b/LL-Q9296_%28mkd%29-Bjankuloski06-%D1%83%D1%82%D1%80%D0%BE.wav
месец,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-месец.wav,https://upload.wikimedia.org/wikipedia/commons/b/b2/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%BC%D0%B5%D1%81%D0%B5%D1%86.wav
вчера,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-вчера.wav,https://upload.wikimedia.org/wikipedia/commons/4/45/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%B2%D1%87%D0%B5%D1%80%D0%B0.wav
утре,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-утре.wav,https://upload.wikimedia.org/wikipedia/commons/1/10/LL-Q9296_%28mkd%29-Bjankuloski06-%D1%83%D1%82%D1%80%D0%B5.wav
зима,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-зима.wav,https://upload.wikimedia.org/wikipedia/commons/c/c2/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%B7%D0%B8%D0%BC%D0%B0.wav
есен,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-есен.wav,https://upload.wikimedia.org/wikipedia/commons/f/f6/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%B5%D1%81%D0%B5%D0%BD.wav
