word,lemma,notes
госпоѓа,госпоѓа,No audio in Lingua Libre (needs Common Voice or recording)
госпоѓица,госпоѓица,No audio in Lingua Libre (needs Common Voice or recording)
господин,господин,No audio in Lingua Libre (needs Common Voice or recording)
__ часот е,__ часот е,No audio in Lingua Libre (needs Common Voice or recording)
Колку е часот?,Колку е часот?,No audio in Lingua Libre (needs Common Voice or recording)
мојот омилен месец е ____,мојот омилен месец е ____,No audio in Lingua Libre (needs Common Voice or recording)
минатиот месец беше мај ____,минатиот месец беше мај ____,No audio in Lingua Libre (needs Common Voice or recording)
следниот месец е ___,следниот месец е ___,No audio in Lingua Libre (needs Common Voice or recording)
сега а __,сега а __,No audio in Lingua Libre (needs Common Voice or recording)
кој е товјот омилен месец?,кој е товјот омилен месец?,No audio in Lingua Libre (needs Common Voice or recording)
кој беше минатиот месец?,кој беше минатиот месец?,No audio in Lingua Libre (needs Common Voice or recording)
кој е следниот месец?,кој е следниот месец?,No audio in Lingua Libre (needs Common Voice or recording)
кој месец е сега?,кој месец е сега?,No audio in Lingua Libre (needs Common Voice or recording)
колку е часот?,колку е часот?,No audio in Lingua Libre (needs Common Voice or recording)
веќе,веќе,No audio in Lingua Libre (needs Common Voice or recording)
скоро,скоро,No audio in Lingua Libre (needs Common Voice or recording)
доцна,доцна,No audio in Lingua Libre (needs Common Voice or recording)
рано,рано,No audio in Lingua Libre (needs Common Voice or recording)
ретко,ретко,No audio in Lingua Libre (needs Common Voice or recording)
понекогаш,понекогаш,No audio in Lingua Libre (needs Common Voice or recording)
следната година,следната година,No audio in Lingua Libre (needs Common Voice or recording)
минатата година,минатата година,No audio in Lingua Libre (needs Common Voice or recording)
оваа година,оваа година,No audio in Lingua Libre (needs Common Voice or recording)
следниот месец,следниот месец,No audio in Lingua Libre (needs Common Voice or recording)
минатиот месец,минатиот месец,No audio in Lingua Libre (needs Common Voice or recording)
овој месец,овој месец,No audio in Lingua Libre (needs Common Voice or recording)
следната недела,следната недела,No audio in Lingua Libre (needs Common Voice or recording)
минатата недела,минатата недела,No audio in Lingua Libre (needs Common Voice or recording)
оваа недела,оваа недела,No audio in Lingua Libre (needs Common Voice or recording)
следниот викенд,следниот викенд,No audio in Lingua Libre (needs Common Voice or recording)
минатиот викенд,минатиот викенд,No audio in Lingua Libre (needs Common Voice or recording)
овој викенд,овој викенд,No audio in Lingua Libre (needs Common Voice or recording)
викенд,викенд,No audio in Lingua Libre (needs Common Voice or recording)
завчера,завчера,No audio in Lingua Libre (needs Common Voice or recording)
задутре,задутре,No audio in Lingua Libre (needs Common Voice or recording)
волф,волф,No audio in Lingua Libre (needs Common Voice or recording)
макс,макс,No audio in Lingua Libre (needs Common Voice or recording)
димензија,димензија,No audio in Lingua Libre (needs Common Voice or recording)
привидна,привидна,No audio in Lingua Libre (needs Common Voice or recording)
хершел,хершел,No audio in Lingua Libre (needs Common Voice or recording)
заведено,заведено,No audio in Lingua Libre (needs Common Voice or recording)
јато,јато,No audio in Lingua Libre (needs Common Voice or recording)
ѕвездено,ѕвездено,No audio in Lingua Libre (needs Common Voice or recording)
расеано,расеано,No audio in Lingua Libre (needs Common Voice or recording)
јудеја,јудеја,No audio in Lingua Libre (needs Common Voice or recording)
управата,управата,No audio in Lingua Libre (needs Common Voice or recording)
дотогаш,дотогаш,No audio in Lingua Libre (needs Common Voice or recording)
ерусалим,ерусалим,No audio in Lingua Libre (needs Common Voice or recording)
презема,презема,No audio in Lingua Libre (needs Common Voice or recording)
царство,царство,No audio in Lingua Libre (needs Common Voice or recording)
римско,римско,No audio in Lingua Libre (needs Common Voice or recording)
четвртта,четвртта,No audio in Lingua Libre (needs Common Voice or recording)
рефрактор,рефрактор,No audio in Lingua Libre (needs Common Voice or recording)
даре,даре,No audio in Lingua Libre (needs Common Voice or recording)
хајнрих,хајнрих,No audio in Lingua Libre (needs Common Voice or recording)
спирална,спирална,No audio in Lingua Libre (needs Common Voice or recording)
србите,србите,No audio in Lingua Libre (needs Common Voice or recording)
победиле,победиле,No audio in Lingua Libre (needs Common Voice or recording)
ќустендил,ќустендил,No audio in Lingua Libre (needs Common Voice or recording)
денешен,денешен,No audio in Lingua Libre (needs Common Voice or recording)
велбужд,велбужд,No audio in Lingua Libre (needs Common Voice or recording)
близина,близина,No audio in Lingua Libre (needs Common Voice or recording)
српските,српските,No audio in Lingua Libre (needs Common Voice or recording)
бугарските,бугарските,No audio in Lingua Libre (needs Common Voice or recording)
случила,случила,No audio in Lingua Libre (needs Common Voice or recording)
велбуждска,велбуждска,No audio in Lingua Libre (needs Common Voice or recording)
стефан,стефан,No audio in Lingua Libre (needs Common Voice or recording)
мари,мари,No audio in Lingua Libre (needs Common Voice or recording)
жан,жан,No audio in Lingua Libre (needs Common Voice or recording)
едуар,едуар,No audio in Lingua Libre (needs Common Voice or recording)
леќеста,леќеста,No audio in Lingua Libre (needs Common Voice or recording)
претходник,претходник,No audio in Lingua Libre (needs Common Voice or recording)
после,после,No audio in Lingua Libre (needs Common Voice or recording)
следи,следи,No audio in Lingua Libre (needs Common Voice or recording)
природен,природен,No audio in Lingua Libre (needs Common Voice or recording)
претставува,претставува,No audio in Lingua Libre (needs Common Voice or recording)
глифот,глифот,No audio in Lingua Libre (needs Common Voice or recording)
ремикс,ремикс,No audio in Lingua Libre (needs Common Voice or recording)
марино,марино,No audio in Lingua Libre (needs Common Voice or recording)
џорџ,џорџ,No audio in Lingua Libre (needs Common Voice or recording)
микс,микс,No audio in Lingua Libre (needs Common Voice or recording)
аудио,аудио,No audio in Lingua Libre (needs Common Voice or recording)
лудвиг,лудвиг,No audio in Lingua Libre (needs Common Voice or recording)
перијалис,перијалис,No audio in Lingua Libre (needs Common Voice or recording)
алекс,алекс,No audio in Lingua Libre (needs Common Voice or recording)
продуценти,продуценти,No audio in Lingua Libre (needs Common Voice or recording)
зазула,зазула,No audio in Lingua Libre (needs Common Voice or recording)
курцио,курцио,No audio in Lingua Libre (needs Common Voice or recording)
пол,пол,No audio in Lingua Libre (needs Common Voice or recording)
вокал,вокал,No audio in Lingua Libre (needs Common Voice or recording)
текстови,текстови,No audio in Lingua Libre (needs Common Voice or recording)
позадина,позадина,No audio in Lingua Libre (needs Common Voice or recording)
громови,громови,No audio in Lingua Libre (needs Common Voice or recording)
невреме,невреме,No audio in Lingua Libre (needs Common Voice or recording)
слушаат,слушаат,No audio in Lingua Libre (needs Common Voice or recording)
јасно,јасно,No audio in Lingua Libre (needs Common Voice or recording)
крајот,крајот,No audio in Lingua Libre (needs Common Voice or recording)
жртви,жртви,No audio in Lingua Libre (needs Common Voice or recording)
иста,иста,No audio in Lingua Libre (needs Common Voice or recording)
чека,чека,No audio in Lingua Libre (needs Common Voice or recording)
нив,нив,No audio in Lingua Libre (needs Common Voice or recording)
колена,колена,No audio in Lingua Libre (needs Common Voice or recording)
паднат,паднат,No audio in Lingua Libre (needs Common Voice or recording)
порака,порака,No audio in Lingua Libre (needs Common Voice or recording)
упатува,упатува,No audio in Lingua Libre (needs Common Voice or recording)
заслужиле,заслужиле,No audio in Lingua Libre (needs Common Voice or recording)
казнува,казнува,No audio in Lingua Libre (needs Common Voice or recording)
униформи,униформи,No audio in Lingua Libre (needs Common Voice or recording)
кожени,кожени,No audio in Lingua Libre (needs Common Voice or recording)
опремена,опремена,No audio in Lingua Libre (needs Common Voice or recording)
милицијата,милицијата,No audio in Lingua Libre (needs Common Voice or recording)
престапи,престапи,No audio in Lingua Libre (needs Common Voice or recording)
простување,простување,No audio in Lingua Libre (needs Common Voice or recording)
молат,молат,No audio in Lingua Libre (needs Common Voice or recording)
сега,сега,No audio in Lingua Libre (needs Common Voice or recording)
грешници,грешници,No audio in Lingua Libre (needs Common Voice or recording)
боговите,боговите,No audio in Lingua Libre (needs Common Voice or recording)
одмаздата,одмаздата,No audio in Lingua Libre (needs Common Voice or recording)
изчезнуваат,изчезнуваат,No audio in Lingua Libre (needs Common Voice or recording)
земјите,земјите,No audio in Lingua Libre (needs Common Voice or recording)
супериорност,супериорност,No audio in Lingua Libre (needs Common Voice or recording)
низ,низ,No audio in Lingua Libre (needs Common Voice or recording)
пораката,пораката,No audio in Lingua Libre (needs Common Voice or recording)
шири,шири,No audio in Lingua Libre (needs Common Voice or recording)
милиција,милиција,No audio in Lingua Libre (needs Common Voice or recording)
екстемниот,екстемниот,No audio in Lingua Libre (needs Common Voice or recording)
својствена,својствена,No audio in Lingua Libre (needs Common Voice or recording)
брза,брза,No audio in Lingua Libre (needs Common Voice or recording)
ултра,ултра,No audio in Lingua Libre (needs Common Voice or recording)
петминутна,петминутна,No audio in Lingua Libre (needs Common Voice or recording)
непријателско,непријателско,No audio in Lingua Libre (needs Common Voice or recording)
разнесе,разнесе,No audio in Lingua Libre (needs Common Voice or recording)
наредба,наредба,No audio in Lingua Libre (needs Common Voice or recording)
рефрен,рефрен,No audio in Lingua Libre (needs Common Voice or recording)
уништи,уништи,No audio in Lingua Libre (needs Common Voice or recording)
трагај,трагај,No audio in Lingua Libre (needs Common Voice or recording)
изведуваат,изведуваат,No audio in Lingua Libre (needs Common Voice or recording)
гласна,гласна,No audio in Lingua Libre (needs Common Voice or recording)
бучната,бучната,No audio in Lingua Libre (needs Common Voice or recording)
распаѓаат,распаѓаат,No audio in Lingua Libre (needs Common Voice or recording)
буквално,буквално,No audio in Lingua Libre (needs Common Voice or recording)
турнеја,турнеја,No audio in Lingua Libre (needs Common Voice or recording)
посетуваат,посетуваат,No audio in Lingua Libre (needs Common Voice or recording)
градовите,градовите,No audio in Lingua Libre (needs Common Voice or recording)
опишува,опишува,No audio in Lingua Libre (needs Common Voice or recording)
побавно,побавно,No audio in Lingua Libre (needs Common Voice or recording)
свири,свири,No audio in Lingua Libre (needs Common Voice or recording)
настапите,настапите,No audio in Lingua Libre (needs Common Voice or recording)
заокружување,заокружување,No audio in Lingua Libre (needs Common Voice or recording)
неизбежна,неизбежна,No audio in Lingua Libre (needs Common Voice or recording)
станала,станала,No audio in Lingua Libre (needs Common Voice or recording)
појавување,појавување,No audio in Lingua Libre (needs Common Voice or recording)
нејзиното,нејзиното,No audio in Lingua Libre (needs Common Voice or recording)
воена,воена,No audio in Lingua Libre (needs Common Voice or recording)
обработува,обработува,No audio in Lingua Libre (needs Common Voice or recording)
започнале,започнале,No audio in Lingua Libre (needs Common Voice or recording)
наречен,наречен,No audio in Lingua Libre (needs Common Voice or recording)
монструмот,монструмот,No audio in Lingua Libre (needs Common Voice or recording)
храни,храни,No audio in Lingua Libre (needs Common Voice or recording)
пролеаната,пролеаната,No audio in Lingua Libre (needs Common Voice or recording)
последиците,последиците,No audio in Lingua Libre (needs Common Voice or recording)
одговорност,одговорност,No audio in Lingua Libre (needs Common Voice or recording)
понел,понел,No audio in Lingua Libre (needs Common Voice or recording)
некој,некој,No audio in Lingua Libre (needs Common Voice or recording)
раса,раса,No audio in Lingua Libre (needs Common Voice or recording)
човечката,човечката,No audio in Lingua Libre (needs Common Voice or recording)
истребување,истребување,No audio in Lingua Libre (needs Common Voice or recording)
води,води,No audio in Lingua Libre (needs Common Voice or recording)
