word,audio_word,match_type,source,speaker,license,filename,url,size_bytes
секунда,секунда,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-секунда.wav,https://upload.wikimedia.org/wikipedia/commons/9/9e/LL-Q9296_%28mkd%29-Bjankuloski06-%D1%81%D0%B5%D0%BA%D1%83%D0%BD%D0%B4%D0%B0.wav,101164
час,час,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-час.wav,https://upload.wikimedia.org/wikipedia/commons/e/e5/LL-Q9296_%28mkd%29-Bjankuloski06-%D1%87%D0%B0%D1%81.wav,92972
секогаш,секогаш,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-секогаш.wav,https://upload.wikimedia.org/wikipedia/commons/9/93/LL-Q9296_%28mkd%29-Bjankuloski06-%D1%81%D0%B5%D0%BA%D0%BE%D0%B3%D0%B0%D1%88.wav,109356
полноќ,полноќ,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-полноќ.wav,https://upload.wikimedia.org/wikipedia/commons/a/af/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%BF%D0%BE%D0%BB%D0%BD%D0%BE%D1%9C.wav,92972
ноќ,ноќ,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-ноќ.wav,https://upload.wikimedia.org/wikipedia/commons/9/9b/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%BD%D0%BE%D1%9C.wav,76588
вечер,вечер,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-вечер.wav,https://upload.wikimedia.org/wikipedia/commons/7/7c/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%B2%D0%B5%D1%87%D0%B5%D1%80.wav,76588
попладне,попладне,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-попладне.wav,https://upload.wikimedia.org/wikipedia/commons/6/63/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%BF%D0%BE%D0%BF%D0%BB%D0%B0%D0%B4%D0%BD%D0%B5.wav,84780
пладне,пладне,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-пладне.wav,https://upload.wikimedia.org/wikipedia/commons/e/ef/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%BF%D0%BB%D0%B0%D0%B4%D0%BD%D0%B5.wav,92972
утро,утро,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-утро.wav,https://upload.wikimedia.org/wikipedia/commons/0/0b/LL-Q9296_%28mkd%29-Bjankuloski06-%D1%83%D1%82%D1%80%D0%BE.wav,92972
месец,месец,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-месец.wav,https://upload.wikimedia.org/wikipedia/commons/b/b2/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%BC%D0%B5%D1%81%D0%B5%D1%86.wav,101164
