word,sentence,audio_path,source,license,status
'рт,невремето лоцирано на 645 милји 1040 км западно од островите на зелениот 'рт веројатно ќе се растера пред да претставува опасност на која било копнена област велат метереолозите,/root/.cache/huggingface/datasets/downloads/extracted/6938a9864c73490390a1cd0344068923040f66305eb98666f3dc21d6c71699e2/10109222702755139513.wav,FLEURS (google/fleurs),CC-BY 4.0,needs_alignment
18-тиот,за време на 18-тиот век камбоџа се нашла притисната помеѓу два силни соседа тајланд и виетнам,/root/.cache/huggingface/datasets/downloads/extracted/6938a9864c73490390a1cd0344068923040f66305eb98666f3dc21d6c71699e2/10216478048595634999.wav,FLEURS (google/fleurs),CC-BY 4.0,needs_alignment
apple,во својот одговор министерството го нарече одложувањето на извештајот на apple како навистина за жалење,/root/.cache/huggingface/datasets/downloads/extracted/6938a9864c73490390a1cd0344068923040f66305eb98666f3dc21d6c71699e2/10200395905752521111.wav,FLEURS (google/fleurs),CC-BY 4.0,needs_alignment
km,"капсулата ќе се движи со околу 12,8 km или 8 милји во секунда што е доволно брзо за да се стигне од сан франциско до лос анџелес за само една минута",/root/.cache/huggingface/datasets/downloads/extracted/6938a9864c73490390a1cd0344068923040f66305eb98666f3dc21d6c71699e2/10271544060901211918.wav,FLEURS (google/fleurs),CC-BY 4.0,needs_alignment
km/h,денес рано наутро ветровите беа со брзина од 83 km/h и се очекуваше да слабеат,/root/.cache/huggingface/datasets/downloads/extracted/6938a9864c73490390a1cd0344068923040f66305eb98666f3dc21d6c71699e2/10164070221573083264.wav,FLEURS (google/fleurs),CC-BY 4.0,needs_alignment
kriegsmarine,"""но кралската морнарица и понатаму била посилна од германската морнарица kriegsmarine"" и ќе можела да ја уништи која било инвазиска флота испратена по англискиот канал.",/root/.cache/huggingface/datasets/downloads/extracted/6938a9864c73490390a1cd0344068923040f66305eb98666f3dc21d6c71699e2/10065444896906387793.wav,FLEURS (google/fleurs),CC-BY 4.0,needs_alignment
mi,"површината на турција вклучително и езера зафаќа 783,562 километри квадратни  300,948 sq mi од кои 755,688 километри квадратни  291,773 sq mi се во југозападна азија а 23,764 километри квадратни 9,174 sq mi во европа",/root/.cache/huggingface/datasets/downloads/extracted/6938a9864c73490390a1cd0344068923040f66305eb98666f3dc21d6c71699e2/10103324218987893278.wav,FLEURS (google/fleurs),CC-BY 4.0,needs_alignment
sq,"површината на турција вклучително и езера зафаќа 783,562 километри квадратни  300,948 sq mi од кои 755,688 километри квадратни  291,773 sq mi се во југозападна азија а 23,764 километри квадратни 9,174 sq mi во европа",/root/.cache/huggingface/datasets/downloads/extracted/6938a9864c73490390a1cd0344068923040f66305eb98666f3dc21d6c71699e2/10103324218987893278.wav,FLEURS (google/fleurs),CC-BY 4.0,needs_alignment
а,"површината на турција вклучително и езера зафаќа 783,562 километри квадратни  300,948 sq mi од кои 755,688 километри квадратни  291,773 sq mi се во југозападна азија а 23,764 километри квадратни 9,174 sq mi во европа",/root/.cache/huggingface/datasets/downloads/extracted/6938a9864c73490390a1cd0344068923040f66305eb98666f3dc21d6c71699e2/10103324218987893278.wav,FLEURS (google/fleurs),CC-BY 4.0,needs_alignment
авенџер,противмински брод од класа авенџер тргнал кон пуерто принсеса во палаван,/root/.cache/huggingface/datasets/downloads/extracted/6938a9864c73490390a1cd0344068923040f66305eb98666f3dc21d6c71699e2/10141811099397219330.wav,FLEURS (google/fleurs),CC-BY 4.0,needs_alignment
австралија,г костело рече дека кога нуклеарните реактори ќе бидат економски одржливи австралија ќе почне да ги употребува,/root/.cache/huggingface/datasets/downloads/extracted/6938a9864c73490390a1cd0344068923040f66305eb98666f3dc21d6c71699e2/10087150621273010660.wav,FLEURS (google/fleurs),CC-BY 4.0,needs_alignment
автмобили,торнадата корнат дрвја туркаат блокови од згради и креваат автмобили во воздух најстрашните два проценти од торнадата траат повеќе од три часа,/root/.cache/huggingface/datasets/downloads/extracted/6938a9864c73490390a1cd0344068923040f66305eb98666f3dc21d6c71699e2/1019339275886201248.wav,FLEURS (google/fleurs),CC-BY 4.0,needs_alignment
адресата,дополнително барање во постапката за издавање виза е регистрацијата во одредени земји мора да го регистрирате вашето присуство и адресата каде што престојувате кај локалните власти,/root/.cache/huggingface/datasets/downloads/extracted/6938a9864c73490390a1cd0344068923040f66305eb98666f3dc21d6c71699e2/10214200558501838218.wav,FLEURS (google/fleurs),CC-BY 4.0,needs_alignment
азија,"површината на турција вклучително и езера зафаќа 783,562 километри квадратни  300,948 sq mi од кои 755,688 километри квадратни  291,773 sq mi се во југозападна азија а 23,764 километри квадратни 9,174 sq mi во европа",/root/.cache/huggingface/datasets/downloads/extracted/6938a9864c73490390a1cd0344068923040f66305eb98666f3dc21d6c71699e2/10103324218987893278.wav,FLEURS (google/fleurs),CC-BY 4.0,needs_alignment
ако,ако живеете во град со поинаква култура на пиење посетете ги баровите или пабовите во деловите во коишто не се движите често,/root/.cache/huggingface/datasets/downloads/extracted/6938a9864c73490390a1cd0344068923040f66305eb98666f3dc21d6c71699e2/10069884987727337192.wav,FLEURS (google/fleurs),CC-BY 4.0,needs_alignment
активност,колонистите исто така побарале засилувања откако ја виделе оваа активност,/root/.cache/huggingface/datasets/downloads/extracted/6938a9864c73490390a1cd0344068923040f66305eb98666f3dc21d6c71699e2/10153483223478080716.wav,FLEURS (google/fleurs),CC-BY 4.0,needs_alignment
амазон,главниот тек на реката амазон изнесува 6387 км 3980 милји. вода собира од илјадници помали реки,/root/.cache/huggingface/datasets/downloads/extracted/6938a9864c73490390a1cd0344068923040f66305eb98666f3dc21d6c71699e2/10011926538676301602.wav,FLEURS (google/fleurs),CC-BY 4.0,needs_alignment
американски,досега аол можеше да го движи и развива им-пазарот со свое темпо како резултат на неговата широка употреба во соединетите американски држави,/root/.cache/huggingface/datasets/downloads/extracted/6938a9864c73490390a1cd0344068923040f66305eb98666f3dc21d6c71699e2/10056485569275356852.wav,FLEURS (google/fleurs),CC-BY 4.0,needs_alignment
англискиот,"""но кралската морнарица и понатаму била посилна од германската морнарица kriegsmarine"" и ќе можела да ја уништи која било инвазиска флота испратена по англискиот канал.",/root/.cache/huggingface/datasets/downloads/extracted/6938a9864c73490390a1cd0344068923040f66305eb98666f3dc21d6c71699e2/10065444896906387793.wav,FLEURS (google/fleurs),CC-BY 4.0,needs_alignment
англија,во англија долго време владеел мир по повторното освојување на данелаг,/root/.cache/huggingface/datasets/downloads/extracted/6938a9864c73490390a1cd0344068923040f66305eb98666f3dc21d6c71699e2/1013200396048361645.wav,FLEURS (google/fleurs),CC-BY 4.0,needs_alignment
антички,така е кралот тутанкамон познат и како кралот тут или кралот момче е еден од најпознатите антички египетски кралеви во модерното доба,/root/.cache/huggingface/datasets/downloads/extracted/6938a9864c73490390a1cd0344068923040f66305eb98666f3dc21d6c71699e2/10223565863101899842.wav,FLEURS (google/fleurs),CC-BY 4.0,needs_alignment
анџелес,"капсулата ќе се движи со околу 12,8 km или 8 милји во секунда што е доволно брзо за да се стигне од сан франциско до лос анџелес за само една минута",/root/.cache/huggingface/datasets/downloads/extracted/6938a9864c73490390a1cd0344068923040f66305eb98666f3dc21d6c71699e2/10271544060901211918.wav,FLEURS (google/fleurs),CC-BY 4.0,needs_alignment
аол,досега аол можеше да го движи и развива им-пазарот со свое темпо како резултат на неговата широка употреба во соединетите американски држави,/root/.cache/huggingface/datasets/downloads/extracted/6938a9864c73490390a1cd0344068923040f66305eb98666f3dc21d6c71699e2/10056485569275356852.wav,FLEURS (google/fleurs),CC-BY 4.0,needs_alignment
асинхроната,асинхроната комуникација потпомага да се одвои време за размислување и реакција на другите,/root/.cache/huggingface/datasets/downloads/extracted/6938a9864c73490390a1cd0344068923040f66305eb98666f3dc21d6c71699e2/10048548429769072004.wav,FLEURS (google/fleurs),CC-BY 4.0,needs_alignment
бактерија,херши и чејс користеле фаги или вируси за вградување на нивната сопствена днк во бактерија,/root/.cache/huggingface/datasets/downloads/extracted/6938a9864c73490390a1cd0344068923040f66305eb98666f3dc21d6c71699e2/10168521013030027655.wav,FLEURS (google/fleurs),CC-BY 4.0,needs_alignment
барања,има ограничен број на дозволи коишто се резервирани за барања за влегување достапни врз основа прв дојден прв послужен,/root/.cache/huggingface/datasets/downloads/extracted/6938a9864c73490390a1cd0344068923040f66305eb98666f3dc21d6c71699e2/10094277887611576303.wav,FLEURS (google/fleurs),CC-BY 4.0,needs_alignment
барање,дополнително барање во постапката за издавање виза е регистрацијата во одредени земји мора да го регистрирате вашето присуство и адресата каде што престојувате кај локалните власти,/root/.cache/huggingface/datasets/downloads/extracted/6938a9864c73490390a1cd0344068923040f66305eb98666f3dc21d6c71699e2/10214200558501838218.wav,FLEURS (google/fleurs),CC-BY 4.0,needs_alignment
баровите,ако живеете во град со поинаква култура на пиење посетете ги баровите или пабовите во деловите во коишто не се движите често,/root/.cache/huggingface/datasets/downloads/extracted/6938a9864c73490390a1cd0344068923040f66305eb98666f3dc21d6c71699e2/10069884987727337192.wav,FLEURS (google/fleurs),CC-BY 4.0,needs_alignment
беа,овие босови беа зауздани од провенцано кога ѝ стави крај на војната поттикната од риина против државата која ги одзеде животите на крстоносците  на мафијата џовани фалконе и паоло борселино во 1992 година.,/root/.cache/huggingface/datasets/downloads/extracted/6938a9864c73490390a1cd0344068923040f66305eb98666f3dc21d6c71699e2/100335690878847577.wav,FLEURS (google/fleurs),CC-BY 4.0,needs_alignment
без,на децата со хиперкинетичко нарушување им е тешко да се концентрираат на нешта како училишна работа но можат да се концентрираат на нештата во коишто уживаат како што се играње игри гледање на омилените цртани филмови или пишување реченици без интерпункциски знаци,/root/.cache/huggingface/datasets/downloads/extracted/6938a9864c73490390a1cd0344068923040f66305eb98666f3dc21d6c71699e2/10041339867544878266.wav,FLEURS (google/fleurs),CC-BY 4.0,needs_alignment
безбедни,за проверка на жртвата мора прво да го испитате местото на настанот за да се уверите дека сте безбедни,/root/.cache/huggingface/datasets/downloads/extracted/6938a9864c73490390a1cd0344068923040f66305eb98666f3dc21d6c71699e2/10190096799150502954.wav,FLEURS (google/fleurs),CC-BY 4.0,needs_alignment
белингсхаузеновото,елсвортовата земја е регион јужно од полуостровот која граничи со белингсхаузеновото море,/root/.cache/huggingface/datasets/downloads/extracted/6938a9864c73490390a1cd0344068923040f66305eb98666f3dc21d6c71699e2/1003125635861060415.wav,FLEURS (google/fleurs),CC-BY 4.0,needs_alignment
беше,натпреварите започнаа во 10:00 часот во одлични временски услови а освен ситниот дожд на средината од утрото брзо се разведри па денот беше совршен за рагби 7,/root/.cache/huggingface/datasets/downloads/extracted/6938a9864c73490390a1cd0344068923040f66305eb98666f3dc21d6c71699e2/10137687205240250466.wav,FLEURS (google/fleurs),CC-BY 4.0,needs_alignment
бидат,г костело рече дека кога нуклеарните реактори ќе бидат економски одржливи австралија ќе почне да ги употребува,/root/.cache/huggingface/datasets/downloads/extracted/6938a9864c73490390a1cd0344068923040f66305eb98666f3dc21d6c71699e2/10087150621273010660.wav,FLEURS (google/fleurs),CC-BY 4.0,needs_alignment
бил,хсие исто така тврдеше дека фотогеничниот ма бил повеќе за стил отколку за суштина,/root/.cache/huggingface/datasets/downloads/extracted/6938a9864c73490390a1cd0344068923040f66305eb98666f3dc21d6c71699e2/10012693046237682727.wav,FLEURS (google/fleurs),CC-BY 4.0,needs_alignment
била,"""но кралската морнарица и понатаму била посилна од германската морнарица kriegsmarine"" и ќе можела да ја уништи која било инвазиска флота испратена по англискиот канал.",/root/.cache/huggingface/datasets/downloads/extracted/6938a9864c73490390a1cd0344068923040f66305eb98666f3dc21d6c71699e2/10065444896906387793.wav,FLEURS (google/fleurs),CC-BY 4.0,needs_alignment
