word,speaker,filename
а,Bjankuloski06,LL-Q9296 (mkd)-Bjankuloski06-а.wav
абажур,Bjankuloski06,LL-Q9296 (mkd)-Bjankuloski06-абажур.wav
абаџија,Bjankuloski06,LL-Q9296 (mkd)-Bjankuloski06-абаџија.wav
абдал,Bjankuloski06,LL-Q9296 (mkd)-Bjankuloski06-абдал.wav
абдест,Bjankuloski06,LL-Q9296 (mkd)-Bjankuloski06-абдест.wav
абдикација,Bjankuloski06,LL-Q9296 (mkd)-Bjankuloski06-абдикација.wav
аберација,Bjankuloski06,LL-Q9296 (mkd)-Bjankuloski06-аберација.wav
абецедар,Jovan.kostov,LL-Q9296 (mkd)-Jovan.kostov-Абецедар.wav
абонент,Bjankuloski06,LL-Q9296 (mkd)-Bjankuloski06-абонент.wav
абориген,Bjankuloski06,LL-Q9296 (mkd)-Bjankuloski06-абориген.wav
абортус,Bjankuloski06,LL-Q9296 (mkd)-Bjankuloski06-абортус.wav
абхаски,Bjankuloski06,LL-Q9296 (mkd)-Bjankuloski06-абхаски.wav
аван,Bjankuloski06,LL-Q9296 (mkd)-Bjankuloski06-аван.wav
аванс,Bjankuloski06,LL-Q9296 (mkd)-Bjankuloski06-аванс.wav
авантура,Bjankuloski06,LL-Q9296 (mkd)-Bjankuloski06-авантура.wav
авантурист,Bjankuloski06,LL-Q9296 (mkd)-Bjankuloski06-авантурист.wav
август,Bjankuloski06,LL-Q9296 (mkd)-Bjankuloski06-август.wav
авиокомпанија,Bjankuloski06,LL-Q9296 (mkd)-Bjankuloski06-авиокомпанија.wav
авион,Bjankuloski06,LL-Q9296 (mkd)-Bjankuloski06-авион.wav
авионски,Bjankuloski06,LL-Q9296 (mkd)-Bjankuloski06-авионски.wav
авијација,Bjankuloski06,LL-Q9296 (mkd)-Bjankuloski06-авијација.wav
авокадо,Bjankuloski06,LL-Q9296 (mkd)-Bjankuloski06-авокадо.wav
австралиски,Bjankuloski06,LL-Q9296 (mkd)-Bjankuloski06-австралиски.wav
австриски,Bjankuloski06,LL-Q9296 (mkd)-Bjankuloski06-австриски.wav
автобиографија,Bjankuloski06,LL-Q9296 (mkd)-Bjankuloski06-автобиографија.wav
автобус,Bjankuloski06,LL-Q9296 (mkd)-Bjankuloski06-автобус.wav
автократија,Bjankuloski06,LL-Q9296 (mkd)-Bjankuloski06-автократија.wav
автоматски,Bjankuloski06,LL-Q9296 (mkd)-Bjankuloski06-автоматски.wav
автомобил,Bjankuloski06,LL-Q9296 (mkd)-Bjankuloski06-автомобил.wav
автономија,Bjankuloski06,LL-Q9296 (mkd)-Bjankuloski06-автономија.wav
автопат,Bjankuloski06,LL-Q9296 (mkd)-Bjankuloski06-автопат.wav
автопортрет,Bjankuloski06,LL-Q9296 (mkd)-Bjankuloski06-автопортрет.wav
автор,Bjankuloski06,LL-Q9296 (mkd)-Bjankuloski06-автор.wav
авторитет,Bjankuloski06,LL-Q9296 (mkd)-Bjankuloski06-авторитет.wav
авторски,Bjankuloski06,LL-Q9296 (mkd)-Bjankuloski06-авторски.wav
автостоп,Bjankuloski06,LL-Q9296 (mkd)-Bjankuloski06-автостоп.wav
автострада,Bjankuloski06,LL-Q9296 (mkd)-Bjankuloski06-автострада.wav
автотранспорт,Bjankuloski06,LL-Q9296 (mkd)-Bjankuloski06-автотранспорт.wav
автохтон,Bjankuloski06,LL-Q9296 (mkd)-Bjankuloski06-автохтон.wav
ага,Bjankuloski06,LL-Q9296 (mkd)-Bjankuloski06-ага.wav
агент,Bjankuloski06,LL-Q9296 (mkd)-Bjankuloski06-агент.wav
агенција,Bjankuloski06,LL-Q9296 (mkd)-Bjankuloski06-агенција.wav
агитатор,Bjankuloski06,LL-Q9296 (mkd)-Bjankuloski06-агитатор.wav
агностицизам,Bjankuloski06,LL-Q9296 (mkd)-Bjankuloski06-агностицизам.wav
агол,Bjankuloski06,LL-Q9296 (mkd)-Bjankuloski06-агол.wav
агонија,Bjankuloski06,LL-Q9296 (mkd)-Bjankuloski06-агонија.wav
агрегат,Bjankuloski06,LL-Q9296 (mkd)-Bjankuloski06-агрегат.wav
агресивен,Bjankuloski06,LL-Q9296 (mkd)-Bjankuloski06-агресивен.wav
